Album Title,Artist,File Name
To See The Next Part Of A Dream,Parannoul,parannoul.webp
Infinite Granite,Deafheaven,deafheaven.webp
Promises,"Floating Points, Pharoah Sanders",pharoah.webp
Illusory Walls,The World Is A Beautiful Place & I Am No Longer Afraid To Die,theworld.webp
GLOW ON ,Turnstile,turnstile.webp
Between The Richness,Fiddlehead,fiddlehead.webp
Nurture,Porter Robinson,porter.webp
Deacon,serpentwithfeet,serpent.webp
i became birds,Home Is Where,home.webp
HEY WHAT,Low,low.webp
GAMI GANG,Origami Angel,origami.webp
Valentine,Snail Mail,snail.webp
Jubilee,Japanese Breakfast,brekkie.webp
CALL ME IF YOU GET LOST,"Tyler, The Creator",tyler.gif
F̦r Allting,Makthaverskan,makthaverskan.webp
For the first time,"Black Country, New Road",bcnr.webp
Buds,Ovlov,ovlov.webp
Little Oblivions,Julien Baker,julien.webp
ULTRAPOP,The Armed,armed.webp
I Don't Live Here Anymore,The War On Drugs,drugs.webp
G_d's Pee AT STATE'S END!,Godspeed You! Black Emperor,godspeed.webp
I LIE HERE BURIED WITH MY RINGS AND MY DRESSES,Backxwash,backxwash.webp
Harlecore,Danny L Harle,danny.webp
In Spite Of,For Your Health,health.webp
Death of a Cheerleader,Pom Pom Squad,pompom.webp
Black To The Future,Sons Of Kemet
Screen Violence,Chvrches,
Changehpobia,Rostam,
Home Video,Lucy Dacus,
True Love,Hovvdy,
Bright Green Field,Squid,
Seek Shelter,Iceage,
Observatory,Aeon Station,
CRAWLER,IDLES,
fishmonger ,underscores,
Megabear,Me Rex,
Graceful Rage,Harmony Woods,
Sound Ancestors,Madlib,
World Famous Tour,Wavedash,

